run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail
screen-02,3000,LINK,warmup,1,completed,3000,2562792,success,
screen-02,3000,LINK,warmup,2,completed,3000,2279167,success,
screen-02,3000,LINK,warmup,3,completed,3000,2186625,success,
screen-02,3000,LINK,warmup,4,completed,3000,3453959,success,
screen-02,3000,LINK,measure,0,completed,3000,3399208,success,
screen-02,3000,LINK,measure,1,completed,3000,2675458,success,
screen-02,3000,LINK,measure,2,completed,3000,2502750,success,
screen-02,3000,LINK,measure,3,completed,3000,2427209,success,
screen-02,3000,LINK,measure,4,completed,3000,2736041,success,
screen-02,3000,LINK,measure,5,completed,3000,2703583,success,
screen-02,3000,LINK,measure,6,completed,3000,2712042,success,
screen-02,3000,LINK,measure,7,completed,3000,2787208,success,
screen-02,3000,LINK,measure,8,completed,3000,2716500,success,
screen-02,3000,LINK,measure,9,completed,3000,2574125,success,
screen-02,3000,LINK,measure,10,completed,3000,2302291,success,
screen-02,3000,LINK,measure,11,completed,3000,2256084,success,
screen-02,3000,LINK,measure,12,completed,3000,2247125,success,
screen-02,3000,LINK,measure,13,completed,3000,2314250,success,
screen-02,3000,LINK,measure,14,completed,3000,2255208,success,
screen-02,3000,LINK,measure,15,completed,3000,2201125,success,
screen-02,3000,LINK,measure,16,completed,3000,2226625,success,
screen-02,3000,LINK,measure,17,completed,3000,2251458,success,
screen-02,3000,LINK,measure,18,completed,3000,2200791,success,
screen-02,3000,LINK,measure,19,completed,3000,2215375,success,
screen-02,3000,LIST,warmup,0,completed,3000,46871000,success,
screen-02,3000,LIST,warmup,1,completed,3000,48678458,success,
screen-02,3000,LIST,warmup,2,completed,3000,52842084,success,
screen-02,3000,LIST,warmup,3,completed,3000,51618625,success,
screen-02,3000,LIST,warmup,4,completed,3000,46993041,success,
screen-02,3000,LIST,measure,0,completed,3000,46442250,success,
screen-02,3000,LIST,measure,1,completed,3000,46573458,success,
screen-02,3000,LIST,measure,2,completed,3000,45012083,success,
screen-02,3000,LIST,measure,3,completed,3000,46886708,success,
screen-02,3000,LIST,measure,4,completed,3000,45852209,success,
screen-02,3000,LIST,measure,5,completed,3000,45612916,success,
screen-02,3000,LIST,measure,6,completed,3000,46887959,success,
screen-02,3000,LIST,measure,7,completed,3000,45186541,success,
screen-02,3000,LIST,measure,8,completed,3000,47048709,success,
screen-02,3000,LIST,measure,9,completed,3000,45320000,success,
screen-02,3000,LIST,measure,10,completed,3000,45930459,success,
screen-02,3000,LIST,measure,11,completed,3000,47590833,success,
screen-02,3000,LIST,measure,12,completed,3000,46213416,success,
screen-02,3000,LIST,measure,13,completed,3000,45085958,success,
screen-02,3000,LIST,measure,14,completed,3000,46251250,success,
screen-02,3000,LIST,measure,15,completed,3000,46642292,success,
screen-02,3000,LIST,measure,16,completed,3000,46140375,success,
screen-02,3000,LIST,measure,17,completed,3000,47005792,success,
screen-02,3000,LIST,measure,18,completed,3000,47367667,success,
screen-02,3000,LIST,measure,19,completed,3000,48369416,success,
screen-02,3000,SAVE,warmup,0,completed,3000,6616916,success,
screen-02,3000,SAVE,warmup,1,completed,3000,5721375,success,
screen-02,3000,SAVE,warmup,2,completed,3000,5691792,success,
screen-02,3000,SAVE,warmup,3,completed,3000,6466000,success,
screen-02,3000,SAVE,warmup,4,completed,3000,5554333,success,
screen-02,3000,SAVE,measure,0,completed,3000,6454083,success,
screen-02,3000,SAVE,measure,1,completed,3000,6427209,success,
screen-02,3000,SAVE,measure,2,completed,3000,5489166,success,
screen-02,3000,SAVE,measure,3,completed,3000,5432875,success,
screen-02,3000,SAVE,measure,4,completed,3000,5018834,success,
screen-02,3000,SAVE,measure,5,completed,3000,14110625,success,
screen-02,3000,SAVE,measure,6,completed,3000,5546875,success,
screen-02,3000,SAVE,measure,7,completed,3000,5182542,success,
screen-02,3000,SAVE,measure,8,completed,3000,5391542,success,
screen-02,3000,SAVE,measure,9,completed,3000,6200958,success,
